Date,Trap,Latitude,Longitude,Tavg,DewPoint,PrecipTotal,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS
2009-09-14,T013,41.923738,-87.785288,71.5,55.5,0.0,0,0,1,0,0,0,0
2009-02-06,T008,42.008314,-87.77792099999999,55.0,46.5,0.09,0,0,0,1,0,0,0
2009-07-24,T225,41.743402,-87.731435,72.5,59.5,0.165,0,0,1,0,0,0,0
2007-09-18,T004,41.962728000000006,-87.748367,77.0,57.5,0.0,0,0,1,0,0,0,0
2013-09-26,T900,41.974689,-87.890615,64.0,52.0,0.0,0,0,1,0,0,0,0
2011-06-30,T080,41.754676,-87.612922,76.0,61.5,0.0155,0,0,1,0,0,0,0
2013-06-09,T080,41.754676,-87.612922,73.0,56.5,0.0,0,0,0,1,0,0,0
2011-06-30,T002,41.95469,-87.800991,76.0,61.5,0.0155,0,0,1,0,0,0,0
2007-08-28,T115,41.673408,-87.599862,79.5,65.5,0.0,0,1,0,0,0,0,0
2013-06-14,T062,41.800737,-87.71188000000001,67.0,50.5,0.0,0,0,1,0,0,0,0
2013-09-26,T114,41.798697,-87.736812,64.0,52.0,0.0,0,0,1,0,0,0,0
2007-08-21,T082,41.803422999999995,-87.642984,77.5,70.0,0.0055,0,0,1,0,0,0,0
2009-01-10,T900,41.974689,-87.890615,51.0,46.0,0.74,0,0,1,0,0,0,0
2009-03-09,T200,41.678618,-87.559308,66.0,54.5,0.0,0,0,1,0,0,0,0
2007-07-18,T209,41.740641,-87.546587,77.0,68.5,1.235,0,0,1,0,0,0,0
2007-02-07,T007,41.994991,-87.769279,67.0,50.0,0.0,0,0,0,1,0,0,0
2007-04-10,T051,41.846283,-87.656913,68.5,56.0,0.0,0,0,1,0,0,0,0
2007-08-28,T128,41.704572,-87.56566600000001,79.5,65.5,0.0,0,1,0,0,0,0,0
2007-09-24,T154,41.918704999999996,-87.752329,80.0,62.5,0.0,0,0,1,0,0,0,0
2013-08-07,T114,41.798697,-87.736812,78.5,70.5,0.6699999999999999,0,0,0,1,0,0,0
2009-07-17,T223,41.973845000000004,-87.805059,64.0,51.5,0.0005,0,1,0,0,0,0,0
2007-05-06,T142,41.953067,-87.776792,56.5,47.5,0.345,0,0,0,1,0,0,0
2009-03-06,T903,41.957799,-87.930995,53.0,39.5,0.0,0,0,0,1,0,0,0
2011-07-29,T159,41.732984,-87.649642,79.5,68.0,0.53,0,0,0,1,0,0,0
2013-08-08,T013,41.923738,-87.785288,73.0,55.5,0.0,0,1,0,0,0,0,0
2013-07-19,T226,41.793818,-87.654234,85.0,69.5,0.2905,0,0,0,1,0,0,0
2007-08-08,T115,41.673408,-87.599862,80.5,71.5,0.075,0,1,0,0,0,0,0
2009-12-06,T049,41.896282,-87.655232,61.5,49.0,0.001,0,0,0,1,0,0,0
2007-05-06,T048,41.867108,-87.654224,56.5,47.5,0.345,0,1,0,0,0,0,0
2007-09-24,T092,41.869215999999994,-87.627561,80.0,62.5,0.0,0,0,1,0,0,0,0
2013-12-07,T077,41.778748,-87.586427,71.0,53.5,0.0,0,0,1,0,0,0,0
2011-07-15,T223,41.973845000000004,-87.805059,79.0,60.0,0.0005,0,0,1,0,0,0,0
2007-08-15,T009,41.981964000000005,-87.812827,76.5,68.0,0.53,0,0,1,0,0,0,0
2013-06-09,T048,41.867108,-87.654224,73.0,56.5,0.0,0,0,1,0,0,0,0
2007-09-24,T100,41.717753,-87.531657,80.0,62.5,0.0,0,1,0,0,0,0,0
2013-08-29,T227,41.728495,-87.60096300000001,78.0,64.5,0.0,0,1,0,0,0,0,0
2009-12-06,T095,41.704336,-87.70373599999999,61.5,49.0,0.001,0,0,1,0,0,0,0
2007-01-08,T142,41.953067,-87.776792,80.5,62.5,0.0,0,0,1,0,0,0,0
2011-09-16,T074,41.822536,-87.66634300000001,53.0,39.0,0.0,0,0,0,1,0,0,0
2013-06-21,T900,41.974689,-87.890615,76.5,64.0,0.45,0,0,0,1,0,0,0
2009-07-08,T102,41.750498,-87.605294,70.0,59.0,0.28,0,0,0,1,0,0,0
2007-08-22,T138,41.726465000000005,-87.585413,80.0,70.5,0.625,0,1,0,0,0,0,0
2007-01-08,T138,41.726465000000005,-87.585413,80.5,62.5,0.0,0,0,0,1,0,0,0
2009-07-31,T158,41.682587,-87.707973,71.0,54.5,0.0,0,1,0,0,0,0,0
2007-09-24,T060,41.823065,-87.67837800000001,80.0,62.5,0.0,0,1,0,0,0,0,0
2009-10-07,T114,41.798697,-87.736812,74.5,64.5,0.1,0,1,0,0,0,0,0
2009-06-07,T074,41.822536,-87.66634300000001,73.5,54.0,0.0,0,1,0,0,0,0,0
2011-12-09,T090,41.868077,-87.666901,75.0,59.0,0.0,0,0,0,1,0,0,0
2007-09-19,T128,41.704572,-87.56566600000001,75.5,59.0,0.0,0,1,0,0,0,0,0
2011-09-30,T222,41.925197999999995,-87.746381,52.0,41.5,0.13,0,0,0,1,0,0,0
2009-06-26,T054,41.921965,-87.632085,78.5,60.5,0.0,0,0,1,0,0,0,0
2009-07-27,T158,41.682587,-87.707973,74.5,61.0,0.025,0,1,0,0,0,0,0
2009-07-31,T900,41.974689,-87.890615,71.0,54.5,0.0,0,0,1,0,0,0,0
2007-07-08,T003,41.964242,-87.757639,82.5,73.0,0.685,0,0,1,0,0,0,0
2007-04-10,T016,42.011601,-87.81150600000001,68.5,56.0,0.0,0,0,1,0,0,0,0
2007-08-15,T094,41.720848,-87.666014,76.5,68.0,0.53,0,0,1,0,0,0,0
2011-06-17,T009,41.992478000000006,-87.862995,72.0,60.0,0.0,0,0,0,1,0,0,0
2007-04-10,T063,41.82561,-87.726549,68.5,56.0,0.0,0,0,1,0,0,0,0
2007-02-07,T008,42.008314,-87.77792099999999,67.0,50.0,0.0,0,0,0,1,0,0,0
2011-10-06,T047,41.868142,-87.696269,60.5,56.0,0.48,0,0,0,1,0,0,0
2011-12-08,T138,41.726465000000005,-87.585413,72.5,58.0,0.0,0,0,0,1,0,0,0
2007-07-19,T063,41.82561,-87.726549,73.0,62.5,0.085,0,0,1,0,0,0,0
2009-07-08,T212,41.680946,-87.535198,70.0,59.0,0.28,0,0,0,0,0,0,1
2007-09-24,T219,41.966986999999996,-87.674677,80.0,62.5,0.0,0,0,1,0,0,0,0
2013-06-09,T083,41.754292,-87.590773,73.0,56.5,0.0,0,0,1,0,0,0,0
2007-05-06,T096,41.731922,-87.677512,56.5,47.5,0.345,0,0,0,1,0,0,0
2009-06-19,T047,41.868142,-87.696269,76.5,67.5,2.42,0,0,0,1,0,0,0
2007-07-08,T070,41.797616,-87.797894,82.5,73.0,0.685,0,0,1,0,0,0,0
2013-08-29,T077,41.778748,-87.586427,78.0,64.5,0.0,0,0,1,0,0,0,0
2009-06-07,T152,41.846075,-87.716277,73.5,54.0,0.0,0,0,1,0,0,0,0
2007-08-08,T115,41.673408,-87.599862,80.5,71.5,0.075,0,1,0,0,0,0,0
2013-07-25,T094,41.720848,-87.666014,69.5,53.0,0.0,0,0,0,1,0,0,0
2007-07-08,T008,42.008314,-87.77792099999999,82.5,73.0,0.685,0,0,1,0,0,0,0
2009-06-15,T903,41.957799,-87.930995,68.0,49.0,0.0,0,0,0,1,0,0,0
2007-08-22,T212,41.680946,-87.535198,80.0,70.5,0.625,0,1,0,0,0,0,0
2013-08-08,T090,41.868077,-87.666901,73.0,55.5,0.0,0,1,0,0,0,0,0
2013-08-29,T090,41.868077,-87.666901,78.0,64.5,0.0,0,0,1,0,0,0,0
2007-08-24,T065,41.778296999999995,-87.752411,75.0,67.0,0.22,0,1,0,0,0,0,0
2009-09-25,T148,42.01743,-87.68776899999999,65.0,57.0,0.09,0,0,1,0,0,0,0
2007-04-09,T049,41.896282,-87.655232,77.5,59.5,0.0,0,1,0,0,0,0,0
2009-06-07,T158,41.682587,-87.707973,73.5,54.0,0.0,0,0,0,1,0,0,0
2011-09-16,T128,41.704572,-87.56566600000001,53.0,39.0,0.0,0,0,1,0,0,0,0
2013-06-21,T011,41.944869,-87.832763,76.5,64.0,0.45,0,0,0,1,0,0,0
2009-01-10,T144,41.94016,-87.794896,51.0,46.0,0.74,0,0,0,1,0,0,0
2013-12-07,T115,41.673408,-87.599862,71.0,53.5,0.0,0,0,0,1,0,0,0
2009-07-08,T226,41.793818,-87.654234,70.0,59.0,0.28,0,0,1,0,0,0,0
2007-01-08,T015,41.974089,-87.824812,80.5,62.5,0.0,0,1,0,0,0,0,0
2007-12-09,T155,41.776156,-87.778927,56.5,42.5,0.0,0,1,0,0,0,0,0
2011-07-29,T128,41.704572,-87.56566600000001,79.5,68.0,0.53,0,0,0,0,0,0,1
2011-09-23,T002,41.95469,-87.800991,55.0,45.0,0.01,0,0,0,1,0,0,0
2009-08-27,T074,41.822536,-87.66634300000001,64.5,60.5,1.0699999999999998,0,1,0,0,0,0,0
2013-08-29,T035,41.763733,-87.742302,78.0,64.5,0.0,0,1,0,0,0,0,0
2007-09-19,T095,41.704336,-87.70373599999999,75.5,59.0,0.0,0,1,0,0,0,0,0
2007-09-24,T219,41.966986999999996,-87.674677,80.0,62.5,0.0,0,1,0,0,0,0,0
2013-06-14,T054,41.921965,-87.632085,67.0,50.5,0.0,0,0,0,1,0,0,0
2011-01-09,T226,41.793818,-87.654234,83.0,70.5,0.0,0,1,0,0,0,0,0
2009-07-27,T128,41.704572,-87.56566600000001,74.5,61.0,0.025,0,0,1,0,0,0,0
2007-08-15,T095,41.704336,-87.70373599999999,76.5,68.0,0.53,0,0,0,1,0,0,0
2013-08-07,T089,41.723195000000004,-87.64997,78.5,70.5,0.6699999999999999,0,0,1,0,0,0,0
2007-01-08,T096,41.731922,-87.677512,80.5,62.5,0.0,0,1,0,0,0,0,0
2007-02-08,T091,41.862292,-87.64886,81.5,66.0,0.0,0,0,0,1,0,0,0
2007-01-08,T115,41.673408,-87.599862,80.5,62.5,0.0,0,1,0,0,0,0,0
2009-06-26,T152,41.846075,-87.716277,78.5,60.5,0.0,0,0,0,1,0,0,0
2007-08-15,T051,41.846283,-87.656913,76.5,68.0,0.53,0,1,0,0,0,0,0
2009-06-22,T900,41.974689,-87.890615,79.5,67.0,0.075,0,0,1,0,0,0,0
2011-08-19,T114,41.798697,-87.736812,76.5,62.5,0.0,0,0,1,0,0,0,0
2009-02-06,T089,41.723195000000004,-87.64997,55.0,46.5,0.09,0,0,0,1,0,0,0
2013-08-07,T145,41.878114000000004,-87.629798,78.5,70.5,0.6699999999999999,0,0,0,1,0,0,0
2009-08-27,T151,41.916265,-87.800515,64.5,60.5,1.0699999999999998,0,0,1,0,0,0,0
2013-08-15,T224,41.947227000000005,-87.67145699999999,65.5,51.5,0.0,0,1,0,0,0,0,0
2011-06-30,T900,41.974689,-87.890615,76.0,61.5,0.0155,0,0,1,0,0,0,0
2013-06-14,T159,41.732984,-87.649642,67.0,50.5,0.0,0,0,1,0,0,0,0
2007-07-08,T001,41.953705,-87.733974,82.5,73.0,0.685,0,0,1,0,0,0,0
2011-06-17,T212,41.680946,-87.535198,72.0,60.0,0.0,0,0,0,1,0,0,0
2007-01-08,T138,41.726465000000005,-87.585413,80.5,62.5,0.0,0,0,0,1,0,0,0
2013-01-08,T221,41.659112,-87.53869300000001,71.5,55.5,0.0,0,1,0,0,0,0,0
2013-12-09,T900,41.974689,-87.890615,72.5,58.5,0.0305,0,0,1,0,0,0,0
2011-07-15,T047,41.868142,-87.696269,79.0,60.0,0.0005,0,0,1,0,0,0,0
2007-09-24,T037,41.921177,-87.79518,80.0,62.5,0.0,0,1,0,0,0,0,0
2007-01-08,T102,41.750498,-87.605294,80.5,62.5,0.0,0,0,1,0,0,0,0
2009-08-13,T074,41.822536,-87.66634300000001,74.0,55.0,0.0,0,0,0,1,0,0,0
2011-08-26,T212,41.680946,-87.535198,71.5,58.0,0.0,0,0,1,0,0,0,0
2007-04-10,T081,41.821582,-87.62779599999999,68.5,56.0,0.0,0,1,0,0,0,0,0
2009-09-17,T218,41.948167,-87.730698,62.0,51.5,0.0,0,0,0,1,0,0,0
2007-02-08,T200,41.678618,-87.559308,81.5,66.0,0.0,0,1,0,0,0,0,0
2007-08-24,T071,41.781416,-87.77653199999999,75.0,67.0,0.22,0,0,1,0,0,0,0
2007-09-19,T086,41.688324,-87.676709,75.5,59.0,0.0,0,1,0,0,0,0,0
2009-07-08,T160,41.903002,-87.68826700000001,70.0,59.0,0.28,0,0,1,0,0,0,0
2009-09-17,T054,41.921965,-87.632085,62.0,51.5,0.0,0,0,1,0,0,0,0
2007-09-24,T054,41.921965,-87.632085,80.0,62.5,0.0,0,1,0,0,0,0,0
2007-07-25,T115,41.673408,-87.599862,77.5,60.5,0.0005,0,0,1,0,0,0,0
2007-09-18,T149,41.994469,-87.667736,77.0,57.5,0.0,0,0,0,1,0,0,0
2007-08-15,T154,41.918704999999996,-87.752329,76.5,68.0,0.53,0,0,1,0,0,0,0
2011-11-07,T227,41.728495,-87.60096300000001,80.0,70.5,0.26,0,0,0,1,0,0,0
2009-09-17,T900,41.974689,-87.890615,62.0,51.5,0.0,0,0,1,0,0,0,0
2007-02-08,T086,41.688324,-87.676709,81.5,66.0,0.0,0,0,1,0,0,0,0
2009-08-27,T200,41.678618,-87.559308,64.5,60.5,1.0699999999999998,0,1,0,0,0,0,0
2007-08-15,T156,41.772846,-87.740029,76.5,68.0,0.53,0,0,1,0,0,0,0
2009-06-26,T048,41.867108,-87.654224,78.5,60.5,0.0,0,0,0,1,0,0,0
2013-08-07,T090,41.868077,-87.666901,78.5,70.5,0.6699999999999999,0,0,1,0,0,0,0
2007-08-17,T200,41.678618,-87.559308,71.5,54.0,0.0,0,0,1,0,0,0,0
2011-11-07,T221,41.659112,-87.53869300000001,80.0,70.5,0.26,0,0,1,0,0,0,0
2011-12-09,T218,41.948167,-87.730698,75.0,59.0,0.0,0,0,1,0,0,0,0
2009-06-26,T158,41.682587,-87.707973,78.5,60.5,0.0,0,0,0,1,0,0,0
2007-04-10,T135,41.662014,-87.72460799999999,68.5,56.0,0.0,0,1,0,0,0,0,0
2007-08-21,T218,41.948167,-87.730698,77.5,70.0,0.0055,0,1,0,0,0,0,0
2007-07-27,T046,41.891118,-87.65449100000001,77.0,67.5,0.10500000000000001,0,1,0,0,0,0,0
2009-05-28,T212,41.680946,-87.535198,59.0,51.0,0.0,0,0,0,1,0,0,0
2013-07-25,T090,41.868077,-87.666901,69.5,53.0,0.0,0,0,1,0,0,0,0
2013-06-27,T061,41.801179,-87.679447,78.0,66.0,0.755,0,0,0,1,0,0,0
2011-06-17,T028,41.986921,-87.689778,72.0,60.0,0.0,0,0,0,1,0,0,0
2007-04-10,T097,41.644612,-87.60449799999999,68.5,56.0,0.0,0,1,0,0,0,0,0
2013-06-09,T114,41.798697,-87.736812,73.0,56.5,0.0,0,0,1,0,0,0,0
2011-06-17,T002,41.95469,-87.800991,72.0,60.0,0.0,0,0,1,0,0,0,0
2007-11-07,T002,41.95469,-87.800991,70.0,51.0,0.0,0,0,1,0,0,0,0
2013-01-08,T002,41.95469,-87.800991,71.5,55.5,0.0,0,0,0,1,0,0,0
2013-08-08,T115,41.673408,-87.599862,73.0,55.5,0.0,0,1,0,0,0,0,0
2007-08-24,T114,41.798697,-87.736812,75.0,67.0,0.22,0,0,0,0,0,0,1
2009-08-25,T218,41.948167,-87.730698,71.5,61.0,0.0,0,0,1,0,0,0,0
2009-08-27,T144,41.94016,-87.794896,64.5,60.5,1.0699999999999998,0,0,0,1,0,0,0
2011-07-15,T033,41.906638,-87.701431,79.0,60.0,0.0005,0,0,1,0,0,0,0
2007-08-15,T033,41.906638,-87.701431,76.5,68.0,0.53,0,0,1,0,0,0,0
2009-07-24,T223,41.973845000000004,-87.805059,72.5,59.5,0.165,0,0,1,0,0,0,0
2007-11-07,T011,41.944869,-87.832763,70.0,51.0,0.0,0,0,0,1,0,0,0
2009-08-27,T009,41.992478000000006,-87.862995,64.5,60.5,1.0699999999999998,0,0,1,0,0,0,0
2013-12-07,T048,41.867108,-87.654224,71.0,53.5,0.0,0,0,0,1,0,0,0
2007-12-09,T091,41.862292,-87.64886,56.5,42.5,0.0,0,0,1,0,0,0,0
2009-05-28,T155,41.776156,-87.778927,59.0,51.0,0.0,0,0,0,1,0,0,0
2013-01-08,T220,41.963976,-87.69181,71.5,55.5,0.0,0,1,0,0,0,0,0
2007-04-09,T148,42.01743,-87.68776899999999,77.5,59.5,0.0,0,0,1,0,0,0,0
2007-08-24,T135,41.662014,-87.72460799999999,75.0,67.0,0.22,0,0,1,0,0,0,0
2011-07-29,T160,41.903002,-87.68826700000001,79.5,68.0,0.53,0,1,0,0,0,0,0
2007-08-17,T212,41.680946,-87.535198,71.5,54.0,0.0,0,1,0,0,0,0,0
2007-02-08,T103,41.702723999999996,-87.536497,81.5,66.0,0.0,0,0,0,0,0,0,1
2009-03-06,T900,41.974689,-87.890615,53.0,39.5,0.0,0,0,1,0,0,0,0
2007-02-08,T115,41.673408,-87.599862,81.5,66.0,0.0,0,0,1,0,0,0,0
2007-09-19,T096,41.731922,-87.677512,75.5,59.0,0.0,0,0,1,0,0,0,0
2007-08-21,T047,41.868142,-87.696269,77.5,70.0,0.0055,0,1,0,0,0,0,0
2011-01-09,T048,41.867108,-87.654224,83.0,70.5,0.0,0,0,0,1,0,0,0
2007-02-08,T200,41.678618,-87.559308,81.5,66.0,0.0,0,0,1,0,0,0,0
2009-09-14,T135,41.662014,-87.72460799999999,71.5,55.5,0.0,0,1,0,0,0,0,0
2013-06-21,T033,41.906638,-87.701431,76.5,64.0,0.45,0,0,0,1,0,0,0
2007-07-18,T144,41.94016,-87.794896,77.0,68.5,1.235,0,0,1,0,0,0,0
2007-01-08,T143,41.999128999999996,-87.795585,80.5,62.5,0.0,0,0,1,0,0,0,0
2011-07-25,T145,41.878114000000004,-87.629798,81.5,66.5,0.005,0,0,1,0,0,0,0
2009-08-13,T209,41.740641,-87.546587,74.0,55.0,0.0,0,0,1,0,0,0,0
2013-06-14,T089,41.723195000000004,-87.64997,67.0,50.5,0.0,0,0,0,1,0,0,0
2007-08-21,T074,41.822536,-87.66634300000001,77.5,70.0,0.0055,0,1,0,0,0,0,0
2011-08-26,T039,41.911823999999996,-87.726737,71.5,58.0,0.0,0,0,1,0,0,0,0
2013-07-25,T054,41.921965,-87.632085,69.5,53.0,0.0,0,0,1,0,0,0,0
2007-08-21,T156,41.772846,-87.740029,77.5,70.0,0.0055,0,1,0,0,0,0,0
2013-06-09,T063,41.82561,-87.726549,73.0,56.5,0.0,0,1,0,0,0,0,0
2013-08-15,T159,41.732984,-87.649642,65.5,51.5,0.0,0,0,0,1,0,0,0
2011-09-16,T903,41.957799,-87.930995,53.0,39.0,0.0,0,0,1,0,0,0,0
2013-09-19,T094,41.720848,-87.666014,77.0,67.0,0.4205,0,1,0,0,0,0,0
2007-12-09,T085,41.721474,-87.648064,56.5,42.5,0.0,0,0,1,0,0,0,0
2011-05-08,T235,41.776428,-87.627096,76.5,68.0,0.001,0,0,0,0,0,0,1
2011-06-30,T227,41.728495,-87.60096300000001,76.0,61.5,0.0155,0,0,1,0,0,0,0
2013-07-19,T080,41.754676,-87.612922,85.0,69.5,0.2905,0,0,0,1,0,0,0
2013-08-08,T066,41.77166,-87.703047,73.0,55.5,0.0,0,0,1,0,0,0,0
2011-12-09,T073,41.773215,-87.60088,75.0,59.0,0.0,0,0,1,0,0,0,0
2007-09-24,T080,41.754676,-87.612922,80.0,62.5,0.0,0,0,1,0,0,0,0
2013-12-07,T009,41.992478000000006,-87.862995,71.0,53.5,0.0,0,0,1,0,0,0,0
2007-08-22,T115,41.673408,-87.599862,80.0,70.5,0.625,0,1,0,0,0,0,0
2007-07-18,T046,41.891118,-87.65449100000001,77.0,68.5,1.235,0,0,0,1,0,0,0
2013-06-28,T135,41.662014,-87.72460799999999,75.5,60.5,0.0805,0,0,1,0,0,0,0
2013-09-19,T090,41.868077,-87.666901,77.0,67.0,0.4205,0,1,0,0,0,0,0
2007-08-28,T200,41.678618,-87.559308,79.5,65.5,0.0,0,1,0,0,0,0,0
2007-09-24,T063,41.82561,-87.726549,80.0,62.5,0.0,0,0,1,0,0,0,0
2009-07-24,T002,41.95469,-87.800991,72.5,59.5,0.165,0,0,0,1,0,0,0
2013-06-21,T231,41.98728,-87.666066,76.5,64.0,0.45,0,0,1,0,0,0,0
2013-08-08,T115,41.673408,-87.599862,73.0,55.5,0.0,0,0,1,0,0,0,0
2007-06-26,T011,41.944869,-87.832763,81.5,69.0,0.0805,0,0,1,0,0,0,0
2013-08-29,T047,41.868142,-87.696269,78.0,64.5,0.0,0,0,1,0,0,0,0
2013-08-15,T231,41.98728,-87.666066,65.5,51.5,0.0,0,0,0,1,0,0,0
2013-01-08,T235,41.776428,-87.627096,71.5,55.5,0.0,0,0,1,0,0,0,0
2007-01-08,T003,41.964242,-87.757639,80.5,62.5,0.0,0,0,0,1,0,0,0
2007-09-24,T144,41.94016,-87.794896,80.0,62.5,0.0,0,1,0,0,0,0,0
2013-08-07,T002,41.95469,-87.800991,78.5,70.5,0.6699999999999999,0,0,0,1,0,0,0
2011-09-16,T030,41.899229999999996,-87.716788,53.0,39.0,0.0,0,0,1,0,0,0,0
2011-07-25,T114,41.798697,-87.736812,81.5,66.5,0.005,0,1,0,0,0,0,0
2007-08-15,T054,41.921965,-87.632085,76.5,68.0,0.53,0,0,1,0,0,0,0
2013-08-29,T003,41.964242,-87.757639,78.0,64.5,0.0,0,0,1,0,0,0,0
2013-01-08,T900,41.974689,-87.890615,71.5,55.5,0.0,0,0,1,0,0,0,0
2011-09-16,T138,41.726465000000005,-87.585413,53.0,39.0,0.0,0,0,1,0,0,0,0
2013-08-08,T226,41.793818,-87.654234,73.0,55.5,0.0,0,0,1,0,0,0,0
2011-07-25,T063,41.82561,-87.726549,81.5,66.5,0.005,0,0,0,1,0,0,0
2007-05-06,T015,41.974089,-87.824812,56.5,47.5,0.345,0,0,0,1,0,0,0
2007-08-24,T146,41.958271,-87.702575,75.0,67.0,0.22,0,1,0,0,0,0,0
2007-04-09,T045,41.9216,-87.666455,77.5,59.5,0.0,0,0,1,0,0,0,0
2007-07-27,T145,41.878114000000004,-87.629798,77.0,67.5,0.10500000000000001,0,0,1,0,0,0,0
2009-08-13,T069,41.768388,-87.678649,74.0,55.0,0.0,0,0,0,1,0,0,0
2007-09-25,T115,41.673408,-87.599862,74.5,65.5,0.14,0,0,1,0,0,0,0
2013-07-19,T066,41.77166,-87.703047,85.0,69.5,0.2905,0,0,1,0,0,0,0
2007-01-08,T069,41.768388,-87.678649,80.5,62.5,0.0,0,0,0,1,0,0,0
2007-08-15,T103,41.702723999999996,-87.536497,76.5,68.0,0.53,0,0,1,0,0,0,0
2009-08-25,T223,41.973845000000004,-87.805059,71.5,61.0,0.0,0,1,0,0,0,0,0
2007-09-08,T212,41.680946,-87.535198,78.5,71.0,0.255,0,0,1,0,0,0,0
2009-03-09,T209,41.740641,-87.546587,66.0,54.5,0.0,0,0,1,0,0,0,0
2013-08-15,T159,41.732984,-87.649642,65.5,51.5,0.0,0,1,0,0,0,0,0
2009-06-26,T048,41.867108,-87.654224,78.5,60.5,0.0,0,0,1,0,0,0,0
2007-07-18,T001,41.953705,-87.733974,77.0,68.5,1.235,0,1,0,0,0,0,0
2013-09-26,T159,41.732984,-87.649642,64.0,52.0,0.0,0,1,0,0,0,0,0
2007-01-08,T115,41.673408,-87.599862,80.5,62.5,0.0,0,0,1,0,0,0,0
2009-06-19,T008,42.008314,-87.77792099999999,76.5,67.5,2.42,0,0,0,1,0,0,0
2007-08-24,T031,41.801497999999995,-87.763416,75.0,67.0,0.22,0,1,0,0,0,0,0
2007-04-10,T017,41.960615999999995,-87.777189,68.5,56.0,0.0,0,0,1,0,0,0,0
2013-12-09,T061,41.801179,-87.679447,72.5,58.5,0.0305,0,0,1,0,0,0,0
2013-09-19,T221,41.659112,-87.53869300000001,77.0,67.0,0.4205,0,1,0,0,0,0,0
2007-03-08,T215,41.686398,-87.531635,80.5,57.0,0.0,0,1,0,0,0,0,0
2007-07-25,T138,41.726465000000005,-87.585413,77.5,60.5,0.0005,0,0,1,0,0,0,0
2011-07-29,T138,41.726465000000005,-87.585413,79.5,68.0,0.53,0,0,1,0,0,0,0
2009-05-06,T039,41.911823999999996,-87.726737,63.0,43.5,0.0,0,0,1,0,0,0,0
2013-12-07,T900,41.974689,-87.890615,71.0,53.5,0.0,0,0,0,1,0,0,0
2011-07-29,T102,41.750498,-87.605294,79.5,68.0,0.53,0,0,1,0,0,0,0
2013-08-15,T030,41.899229999999996,-87.716788,65.5,51.5,0.0,0,0,1,0,0,0,0
2007-05-29,T015,41.974089,-87.824812,75.5,58.5,0.0,0,0,0,1,0,0,0
2011-12-08,T054,41.921965,-87.632085,72.5,58.0,0.0,0,0,1,0,0,0,0
2009-12-06,T018,42.010412,-87.66214000000001,61.5,49.0,0.001,0,1,0,0,0,0,0
2009-08-13,T073,41.773215,-87.60088,74.0,55.0,0.0,0,1,0,0,0,0,0
2007-04-09,T013,41.923738,-87.785288,77.5,59.5,0.0,0,0,1,0,0,0,0
2013-12-09,T102,41.750498,-87.605294,72.5,58.5,0.0305,0,0,1,0,0,0,0
2007-05-06,T096,41.731922,-87.677512,56.5,47.5,0.345,0,1,0,0,0,0,0
2007-08-28,T209,41.740641,-87.546587,79.5,65.5,0.0,0,1,0,0,0,0,0
2011-07-25,T900,41.974689,-87.890615,81.5,66.5,0.005,0,0,0,1,0,0,0
